tax	Garnets-4	Kaites-Jenny	Kim-1	OMIB2	Pahala-4	Panaewa-1	VHS-4	Waminalo-3	total
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter telavivensis	0	2	0	3	0	0	30	3	38
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus helveticus	3	1	7	6	1	7	1	10	36
Viruses;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Theiavirus;Theiavirus salishense	2	6	1	1	12	7	3	4	36
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter quasiroggenkampii	3	1	1	2	1	20	0	5	33
Eukaryota;Metazoa;Chordata;Mammalia;Primates;Cercopithecidae;Chlorocebus;Chlorocebus sabaeus	6	3	1	5	7	3	3	5	33
Viruses;Orthornavirae;Kitrinoviricota;Magsaviricetes;Nodamuvirales;Sinhaliviridae;Sinaivirus;Lake Sinai Virus NE	0	0	12	0	20	0	0	0	32
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus colini	1	5	4	5	4	7	2	4	32
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Pleosporales_Incertae_sedis;Mangifericomes;Mangifericomes hongheensis	6	4	0	1	4	5	1	10	31
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas oryzarvi	0	0	11	2	3	8	0	6	30
Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Dysgonomonas;Dysgonomonas gadei	0	0	5	1	4	10	0	9	29
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter asburiae	3	2	4	6	2	0	1	10	28
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia fergusonii	2	1	1	4	0	2	3	12	25
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Cedecea;Cedecea lapagei	0	0	0	24	0	0	0	1	25
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter hormaechei	3	2	1	0	0	0	1	17	24
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;Gluconobacter japonicus	3	0	2	5	4	6	3	0	23
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus apinorum	2	1	4	6	0	0	0	10	23
Viruses;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Orthopoxvirus;Ectromelia virus	1	1	2	0	8	1	4	5	22
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Entomobacter;Entomobacter blattae	3	0	4	7	2	5	0	1	22
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera;Kluyvera sichuanensis	0	0	5	5	0	0	0	12	22
Viruses;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Megavirus;Megavirus powaiense	0	3	0	2	9	3	0	5	22
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Companilactobacillus;Companilactobacillus suantsaicola	3	2	5	1	2	7	0	2	22
Bacteria;Bacteria_none;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;Gluconobacter frateurii	2	0	1	4	4	4	5	1	21
Eukaryota;Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomyces;Archaeorhizomyces finlayi	0	0	0	0	0	21	0	0	21
Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;Enterobacter mori	0	0	3	3	1	12	0	2	21
Bacteria;Bacteria_none;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium thermophilum	0	3	5	6	0	2	0	5	21
Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Apilactobacillus;Apilactobacillus nanyangensis	0	0	2	1	0	2	0	15	20
Viruses;Heunggongvirae;Uroviricota;Caudoviricetes;Caudoviricetes_Incertae_sedis;Caudoviricetes_Incertae_sedis;Branisovskavirus;Branisovskavirus Kc263	0	4	0	0	8	3	1	4	20
